city,country,meal_inexpensive,meal_for_2_midrange,mcmeal,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi_restaurant,water_restaurant,milk,bread,rice,eggs,cheese,chicken,beef,apples,banana,oranges,tomato,potato,onion,lettuce,water_market,wine,domestic_beer_market,imported_beer_market,cigarettes,one_way_ticket,monthly_pass,taxi_start,taxi_1km,taxi_1hour_waiting,gasoline,vw_golf,toyota_corolla,utilities_85m2,mobile_tariff,internet,fitness_club,tennis_court,cinema,preschool,intl_primary_school,jeans,summer_dress,nike_shoes,leather_shoes,apt_1bed_city,apt_1bed_outside,apt_3bed_city,apt_3bed_outside,price_sqm_city,price_sqm_outside,avg_salary,mortgage_rate,data_quality
Heilbronn,Germany,11.58,52.69,8.95,3.69,4.21,3.35,2.11,1.96,0.99,1.85,1.91,2.53,12.75,7.29,14.05,2.63,1.72,2.1,0.83,1.32,0.94,1.05,0.47,5.27,0.56,1.0,7.9,2.95,73.76,3.79,2.63,28.45,2.16,23182.39,36881.08,194.77,0.09,31.09,43.03,10.54,13.17,386.37,5057.98,93.26,62.96,81.67,115.56,895.68,618.2,1668.43,1334.74,5795.6,4478.42,3411.5,1.75,0
Pforzheim,Germany,10.54,60.59,8.43,4.21,3.42,2.94,2.58,2.42,0.98,1.58,1.77,2.09,6.32,7.61,17.91,2.81,1.68,2.09,0.96,1.87,0.96,1.26,0.42,4.74,0.58,1.31,7.38,3.0,79.03,3.27,2.0,31.61,2.3,27660.81,24938.64,223.92,0.15,34.9,36.88,23.18,12.64,520.29,9615.43,81.67,33.37,86.06,123.82,737.62,658.59,2107.49,1475.24,3161.24,2634.36,2950.49,2.02,0
Wolfsburg,Germany,9.48,52.69,6.32,4.21,3.69,3.3,1.45,2.49,1.0,1.55,1.83,2.38,12.07,7.73,13.35,1.84,1.57,2.01,0.83,1.39,0.94,1.23,0.48,5.27,0.61,1.48,7.38,2.9,72.71,3.69,2.42,25.29,2.21,22128.65,22831.15,238.91,0.09,34.25,46.72,21.6,10.54,207.06,23709.27,65.48,43.2,79.27,85.8,521.6,421.5,895.68,737.62,4741.85,3371.98,3819.83,1.73,0
Gottingen,Germany,10.54,52.69,8.43,3.79,3.27,2.89,2.87,2.32,1.03,2.24,2.14,3.1,18.76,7.69,13.17,2.59,1.71,2.39,0.83,2.81,0.94,1.72,1.22,5.27,0.73,1.36,8.43,2.53,55.06,2.85,1.9,28.45,2.32,20969.53,,254.01,0.11,34.14,28.1,9.34,8.95,271.87,,65.86,31.61,80.53,102.74,729.72,453.11,1159.12,1093.26,4214.98,3161.24,2777.67,,1
Bottrop,Germany,13.17,52.69,8.43,2.63,2.11,2.92,2.11,1.58,0.95,3.16,1.58,2.1,,8.43,17.91,1.58,1.26,2.1,0.83,,0.94,0.89,,3.42,0.56,1.16,5.27,,,3.16,2.0,34.14,2.32,25289.89,24236.14,231.82,0.2,22.66,,,11.06,,,63.22,31.61,63.22,105.37,,,,,,,,3.0,0
Reutlingen,Germany,14.23,52.69,6.32,4.21,3.95,3.49,2.4,2.81,0.87,2.11,2.1,2.83,11.28,6.59,6.32,2.63,1.8,2.1,0.83,1.05,0.94,1.05,0.39,5.26,0.56,1.26,7.06,2.9,58.22,3.16,2.11,29.72,2.16,,,280.56,0.11,41.06,23.71,,12.64,632.25,12293.69,73.76,35.12,107.13,118.72,737.62,526.87,1050.23,948.37,,,2977.18,2.09,0
Koblenz,Germany,8.43,36.88,8.64,3.11,3.16,2.32,2.12,1.77,0.93,2.36,1.95,2.53,12.43,8.33,6.58,1.87,1.67,2.11,0.86,0.84,0.94,1.05,0.42,4.21,0.56,1.31,7.22,2.9,63.22,3.37,2.0,33.51,2.32,25289.89,,234.35,0.1,31.61,34.51,,10.54,500.53,,54.46,41.62,79.06,108.89,737.62,579.56,1475.24,1527.93,5268.73,3688.11,2212.86,1.55,0
Bremerhaven,Germany,7.64,21.07,7.9,2.63,2.63,2.37,2.27,1.95,0.94,1.79,1.33,1.96,,5.19,36.88,3.16,1.96,2.53,0.83,2.11,0.94,0.94,0.26,4.21,0.56,1.47,6.74,2.63,53.64,3.16,1.9,26.55,2.32,28451.12,28756.71,298.87,0.09,35.12,26.34,,9.48,210.75,,72.01,35.12,76.4,101.86,843.0,491.75,1211.81,772.75,,,4214.98,1.38,0
Recklinghausen,Germany,10.54,47.42,7.9,3.95,3.9,3.01,2.27,1.79,0.97,1.77,2.07,2.45,9.94,7.29,13.0,2.21,1.71,1.98,0.83,2.11,0.94,0.94,0.4,5.26,0.56,1.47,7.06,2.95,75.87,3.27,1.9,31.61,2.32,28451.12,22652.01,267.98,0.13,35.82,28.1,21.07,10.54,305.59,10748.2,84.12,35.12,76.4,101.86,,526.87,1264.49,843.0,3688.11,,2458.74,1.87,0
Erlangen,Germany,14.23,44.78,8.43,3.69,3.69,3.0,2.72,2.47,1.02,2.45,2.11,2.67,13.75,7.66,25.99,2.29,1.68,2.08,0.83,1.16,1.17,1.36,0.65,6.32,0.57,1.58,7.38,2.58,60.27,3.64,1.9,42.15,2.28,26343.63,31612.36,247.52,0.16,31.48,27.05,17.56,12.64,455.74,15279.31,85.99,43.2,90.41,105.37,701.79,562.0,1542.98,1008.58,5971.22,4039.36,3609.71,1.64,1
Bergisch Gladbach,Germany,10.54,52.69,8.43,1.91,3.59,2.36,2.01,2.11,0.95,1.46,2.1,3.01,,5.37,,1.25,1.44,2.26,0.83,2.11,0.94,1.05,0.2,3.58,0.56,2.11,8.43,2.9,,5.06,2.27,39.2,2.32,26343.63,24236.14,184.41,0.09,34.77,21.07,,10.54,,,79.03,42.15,84.3,147.52,,,,,,,,1.97,0
Remscheid,Germany,10.54,47.42,7.9,3.95,3.69,2.7,2.63,2.28,0.89,1.46,1.58,2.0,,5.37,13.16,2.32,1.68,1.32,0.83,1.13,0.2,2.1,,3.69,0.56,0.9,7.59,2.95,65.33,3.16,1.96,41.1,2.03,26343.63,24236.14,269.06,0.08,34.77,,,10.54,142.26,,68.49,31.61,84.3,84.3,474.19,421.5,790.31,737.62,,,2634.36,2.0,0
Jena,Germany,7.38,73.76,8.43,3.16,3.16,2.7,2.04,2.63,1.03,1.46,2.28,2.46,9.62,8.39,8.96,2.81,1.48,2.1,1.81,0.88,0.98,0.95,0.52,5.27,0.7,1.58,8.43,2.32,66.07,4.74,2.69,31.61,2.27,28451.12,26343.63,317.77,0.09,39.25,26.34,,11.85,179.14,4214.98,63.22,17.56,98.35,103.62,614.68,387.25,1369.87,860.56,5093.1,4144.73,2779.25,2.25,1
Trier,Germany,10.54,52.69,7.9,3.69,4.21,2.93,2.35,2.31,0.96,1.09,1.91,2.47,10.62,8.5,15.82,2.33,1.66,2.1,0.83,1.32,0.94,1.09,0.47,5.27,0.57,1.34,7.38,2.95,84.3,3.69,2.0,26.55,2.32,18440.54,23533.64,244.06,0.12,31.17,43.9,,10.54,509.8,12644.94,91.32,43.47,81.27,104.06,843.0,653.32,1369.87,1040.57,4004.23,3846.17,2839.26,1.7,0
Moers,Germany,10.54,52.69,8.43,4.21,3.16,2.85,2.63,2.63,0.98,1.77,1.58,2.68,12.9,7.33,13.0,1.58,1.26,1.9,0.83,0.95,0.94,0.89,0.4,3.95,0.56,1.58,5.27,2.9,94.84,3.79,2.11,33.51,2.32,17913.67,18967.41,231.82,0.17,22.66,26.34,,10.54,305.59,10748.2,84.3,31.61,63.22,105.37,,,,,,,,1.96,0
Salzgitter,Germany,10.54,63.22,7.32,3.69,3.85,3.55,2.77,2.0,1.05,1.86,2.15,2.88,12.28,7.66,13.38,2.28,1.68,2.1,0.83,0.53,0.94,1.16,0.63,5.26,0.64,1.07,6.95,,,3.27,2.27,27.82,2.14,25289.89,22655.52,275.78,0.09,41.1,26.34,,12.12,632.25,24236.14,83.25,42.15,93.78,93.78,368.81,316.12,579.56,526.87,,,1527.93,1.64,0
Siegen,Germany,8.43,36.88,6.59,2.63,3.16,2.32,2.29,1.77,0.9,1.84,1.4,2.56,9.75,7.38,21.07,2.0,1.63,1.84,0.94,1.02,1.53,1.0,0.89,4.21,0.56,1.31,7.38,2.85,94.84,2.95,2.0,30.35,2.32,22128.65,,266.58,0.13,37.51,36.62,,10.54,,,101.86,26.34,84.3,129.08,700.74,470.67,1317.18,948.37,2950.49,1896.74,2054.8,1.55,0
Hildesheim,Germany,10.54,84.3,8.43,3.69,4.0,3.03,2.6,2.46,1.08,1.19,2.01,2.25,9.27,5.12,8.43,2.4,1.51,1.96,0.97,1.11,0.97,1.58,0.74,5.26,0.56,1.4,7.06,2.95,65.86,3.69,1.58,23.39,2.16,34246.72,28977.99,231.82,0.08,35.01,35.12,21.6,10.27,316.12,,40.83,47.42,79.03,80.79,684.93,562.0,1299.62,1114.34,2386.73,2581.68,2441.53,1.96,0
Kaiserslautern,Germany,10.54,57.96,8.43,3.16,3.74,2.7,2.12,1.8,0.93,2.36,2.15,2.53,13.07,8.33,6.58,1.87,1.67,2.11,0.86,1.71,1.2,1.05,0.73,5.27,0.56,1.57,7.06,2.23,68.49,3.06,2.0,29.72,2.27,42149.81,36881.08,231.46,0.1,31.61,26.34,14.75,14.75,500.53,12644.94,54.46,42.15,79.06,107.22,656.83,449.6,837.73,1133.41,,,2950.49,2.0,0
Schwerin,Germany,6.06,52.69,8.61,2.74,3.16,2.56,1.58,1.58,0.75,,1.9,2.77,,5.26,,2.1,1.36,2.36,0.83,,0.94,,,4.21,,1.05,7.38,2.21,49.53,4.21,2.11,,2.32,26342.58,33719.85,158.98,0.16,33.72,31.61,21.07,15.81,276.08,,52.69,31.61,105.37,158.06,,,,,10021.65,10021.65,2634.36,,0
Weingarten,Germany,9.48,47.42,8.17,3.69,4.74,2.63,2.63,2.11,1.15,1.05,2.63,3.16,12.64,8.69,12.64,3.16,2.27,3.69,2.37,3.69,1.26,1.05,1.11,3.16,1.21,1.84,6.32,2.32,47.42,,,,2.0,25825.18,,210.75,,36.88,73.76,21.07,8.43,210.75,5057.98,68.49,18.44,70.25,63.22,474.19,342.47,1106.43,790.31,,3161.24,1527.93,,0
Neubiberg,Germany,10.54,47.42,8.43,,,2.11,1.58,1.05,0.84,0.7,1.04,2.01,,5.27,,1.58,1.04,,2.63,0.7,,,,,,,,2.42,,,,,,,,632.25,,,36.88,,,,,26.34,,31.61,,526.87,,,,,,,,0
Cottbus,Germany,8.96,63.22,7.9,3.16,3.16,2.99,2.28,2.46,0.89,1.86,2.1,2.5,10.8,4.04,5.94,1.78,1.3,2.07,1.89,0.9,0.94,0.62,0.2,6.05,0.75,1.58,7.38,2.63,43.05,3.06,2.53,42.68,2.32,35827.34,29631.32,289.78,0.15,38.64,36.83,,12.49,80.08,4214.98,91.29,40.04,73.76,112.38,451.74,287.25,1018.79,678.45,2790.0,1863.58,1644.37,1.9,0
Witten,Germany,10.54,36.88,10.01,3.69,3.16,3.16,2.46,2.39,1.0,1.13,2.02,3.06,10.74,6.0,9.47,2.35,1.66,2.23,0.87,1.04,0.94,0.98,0.33,4.16,0.63,1.21,7.38,2.85,63.22,5.06,1.95,20.86,2.17,26343.63,20021.16,316.12,0.12,29.31,21.07,,10.01,84.3,8956.83,78.68,37.93,79.03,97.47,,,,,,1580.62,,3.3,0
Tubingen,Germany,10.54,43.2,9.48,3.93,3.42,3.06,2.5,1.91,0.98,1.58,1.77,2.09,13.07,7.61,20.81,2.11,1.68,2.09,0.83,1.05,0.94,0.63,0.42,4.74,0.56,1.05,6.85,2.74,57.96,3.06,2.0,29.08,2.14,26870.5,24938.64,229.86,0.18,34.9,31.61,15.81,11.59,421.5,9615.43,73.76,21.07,81.67,123.82,922.03,620.23,1409.38,1106.43,7376.22,3951.54,2613.29,1.62,0
Flensburg,Germany,10.01,42.15,8.42,4.48,4.0,3.16,2.56,1.93,1.0,1.22,1.29,2.45,7.11,8.14,5.8,2.02,1.21,1.93,1.74,1.45,0.99,0.86,0.31,5.27,0.88,1.66,7.38,2.53,55.32,3.48,2.0,41.2,2.0,21074.9,29504.87,253.03,0.07,35.09,21.07,21.85,8.9,286.93,12610.7,84.29,39.52,84.3,97.84,553.22,463.65,1106.43,881.63,2950.49,2423.61,2985.61,2.67,0
Zwickau,Germany,10.54,52.69,8.43,3.69,3.16,2.99,2.53,2.37,0.98,1.15,1.3,1.86,10.54,6.32,6.85,1.52,1.68,2.17,1.51,0.79,0.94,1.04,0.21,4.74,0.53,0.53,7.64,2.32,52.69,3.69,1.9,27.4,2.29,24201.37,26132.88,186.03,0.08,34.94,26.34,,11.59,364.6,13501.11,52.69,26.34,84.3,105.37,316.12,316.12,737.62,632.25,1460.49,1460.49,3693.38,1.97,0
Giessen,Germany,14.75,42.15,9.16,3.69,3.16,2.82,2.49,2.32,0.89,1.77,2.08,2.95,11.22,7.38,21.6,3.16,1.84,1.89,0.83,1.23,0.94,1.16,0.5,4.74,0.62,1.51,7.38,2.69,79.03,3.16,1.37,26.55,2.32,23182.39,22128.65,197.58,0.11,38.64,24.2,6.32,14.23,263.44,10537.45,75.17,21.07,94.84,182.65,878.12,772.75,1685.99,1369.87,4467.88,4214.98,1721.12,2.33,0
Villingen-Schwenningen,Germany,12.64,57.96,10.01,3.53,5.8,2.62,2.85,2.85,0.76,1.08,2.1,3.12,,6.84,26.33,1.89,1.21,0.95,,0.59,,1.57,0.26,5.27,0.84,1.05,8.01,2.53,59.01,5.27,2.21,29.72,2.32,,,,0.2,31.61,28.35,4.21,12.64,,,84.3,41.1,126.45,84.3,555.85,579.56,,761.86,4741.85,2634.36,,,0
Worms,Germany,9.48,52.69,8.43,4.21,3.42,2.94,2.37,2.39,0.84,1.58,1.77,2.09,14.01,7.61,20.81,2.63,1.55,2.09,0.83,1.16,0.96,0.95,0.42,4.74,0.58,1.04,6.85,2.95,79.03,3.69,1.84,29.72,2.3,26870.5,24938.64,274.63,0.09,34.9,26.34,,8.69,520.29,9615.43,75.52,33.37,100.9,123.82,,316.12,,,,,,2.13,0
Minden,Germany,10.54,52.69,6.32,3.69,2.95,3.16,2.63,2.11,0.74,1.21,1.05,1.68,6.26,6.79,7.99,2.11,0.94,1.78,2.15,0.46,1.05,1.96,0.63,2.1,0.41,1.04,7.38,2.11,42.15,3.48,2.11,34.77,2.04,21074.9,21601.78,158.06,0.09,20.97,20.97,7.38,10.54,136.99,10537.45,42.15,26.34,42.15,63.22,579.56,474.19,,,2405.7,2067.45,2402.54,2.27,0
Dessau-Rosslau,Germany,8.43,31.61,8.95,3.16,2.63,2.79,2.53,2.63,0.93,1.58,1.83,1.79,,5.25,14.75,2.32,1.36,2.1,0.83,2.11,0.94,1.05,,4.74,0.56,1.26,6.85,,,3.69,1.9,25.29,2.27,23182.39,23414.1,223.92,,42.15,26.34,,9.48,65.33,10537.45,79.03,26.34,100.11,126.45,345.1,216.02,474.19,395.15,,,1949.43,,0
Bamberg,Germany,10.54,47.42,8.96,3.16,2.9,3.19,2.77,2.37,0.93,2.11,2.07,2.31,13.07,7.37,,2.98,1.68,1.93,0.83,,0.94,,0.45,5.26,0.71,1.36,7.38,2.11,46.47,3.9,2.32,31.61,2.32,20788.29,,185.46,0.1,43.99,29.82,25.99,13.17,251.85,,63.93,38.29,70.95,90.62,878.12,718.3,1791.37,1299.62,7903.09,6322.47,2845.11,,0
Marburg,Germany,12.12,52.69,8.17,3.69,2.63,2.82,2.81,2.63,0.96,1.77,2.08,2.83,11.22,9.8,21.6,2.98,1.84,1.89,0.83,1.23,0.94,1.16,0.5,4.74,0.62,1.51,7.38,2.42,48.47,3.16,1.37,26.55,2.32,23182.39,22128.65,197.58,0.11,38.64,31.61,,12.64,263.44,10537.45,75.17,21.07,68.49,57.96,,,,,,,4425.73,2.33,0
Wilhelmshaven,Germany,10.54,47.42,7.9,4.21,3.16,2.56,1.58,1.58,0.75,2.53,1.04,2.64,9.37,5.26,24.74,2.1,1.36,2.36,0.83,1.32,0.94,0.82,0.68,5.0,0.62,1.05,7.38,3.56,81.67,4.21,2.11,34.77,2.28,26342.58,26317.29,158.98,0.09,30.73,20.37,73.75,12.64,276.08,10010.58,52.69,31.61,84.09,96.15,368.81,252.9,1053.75,843.0,,,,2.4,0
Bayreuth,Germany,12.64,52.69,9.48,3.16,3.69,2.77,2.6,1.9,0.98,1.66,1.92,2.99,13.07,7.79,9.69,3.54,1.78,2.09,0.83,1.42,0.94,1.84,0.52,4.74,0.56,1.69,8.43,2.48,49.0,3.69,2.32,31.61,2.32,22655.52,27397.38,295.05,0.09,49.17,28.1,,12.64,447.84,,80.79,42.15,59.71,122.94,649.81,625.66,1966.99,1106.43,,,,,0
Landshut,Germany,11.06,50.05,9.48,3.58,3.27,3.42,3.16,2.11,1.05,2.63,2.62,3.98,13.59,,,4.21,1.89,1.58,2.0,1.54,0.94,1.0,0.63,10.54,0.85,2.11,8.17,2.11,49.0,3.16,2.11,27.19,2.32,,,149.28,,42.15,46.89,,10.54,,,79.03,,63.22,63.22,737.62,526.87,1027.4,790.31,,,2845.11,,0
Aschaffenburg,Germany,11.59,52.69,8.43,3.69,3.16,2.94,2.46,1.76,0.89,1.58,1.77,2.09,11.22,7.61,20.81,2.98,1.68,2.02,0.83,1.3,0.96,1.21,0.42,4.48,0.58,1.31,7.38,2.63,72.71,3.37,2.11,31.61,2.3,26870.5,24938.64,182.39,0.11,34.9,36.88,,12.64,263.44,9615.43,70.25,26.34,68.49,57.96,1022.13,667.37,1264.49,1141.56,4214.98,3161.24,3161.24,2.13,0
Celle,Germany,11.59,55.32,6.32,4.21,4.74,3.95,3.16,3.16,1.01,1.21,1.82,2.39,6.26,6.79,7.99,2.55,1.89,1.78,2.15,0.46,1.05,1.96,0.63,4.21,0.41,1.21,5.27,4.74,68.49,3.69,,,2.04,25816.23,26343.63,158.54,0.02,42.15,28.1,84.3,12.64,68.49,10537.45,72.35,42.14,110.12,57.96,395.15,316.12,1185.46,684.93,3291.9,2263.97,1888.31,2.93,0
Kempten,Germany,12.64,24.76,8.42,4.0,2.63,2.81,1.31,,1.09,1.84,1.58,1.89,,4.21,8.43,2.63,2.0,2.41,,0.74,,1.57,,5.27,1.26,2.63,6.85,2.21,56.9,2.63,,,,,,184.41,0.09,34.25,34.25,,9.75,368.81,,105.37,,108.01,126.45,,,,,5268.73,,2318.24,1.0,0
Fulda,Germany,9.48,36.88,13.17,3.06,4.11,2.89,2.55,1.84,0.91,2.63,2.63,2.32,9.37,5.8,8.74,2.62,1.26,1.84,0.83,0.94,0.94,1.04,0.37,2.63,0.84,1.36,6.85,2.53,51.42,2.63,2.11,31.61,2.32,,,179.14,0.16,26.34,21.07,,10.54,,4214.98,63.22,52.69,42.15,63.22,,526.87,,,,,,1.9,0
Aalen,Germany,15.81,52.69,10.54,3.69,3.16,3.79,3.16,2.28,1.0,1.74,2.06,2.92,14.75,9.33,16.86,1.58,1.58,1.97,0.83,2.74,0.94,0.95,0.21,5.27,0.69,1.18,8.43,1.9,57.96,2.95,2.32,34.77,2.32,21794.09,26691.37,209.53,0.09,31.61,31.61,22.31,13.7,105.37,21074.9,87.81,42.15,74.82,80.79,969.45,509.31,983.5,825.43,,,2107.49,1.6,0
Russelsheim,Germany,10.54,36.88,11.06,3.69,2.53,2.9,1.84,1.58,0.82,0.95,0.68,2.34,,8.43,21.07,4.39,4.39,4.65,,3.16,,2.0,0.26,4.74,0.58,,7.38,3.69,94.84,4.21,,12.64,2.32,26343.63,47418.53,84.3,,31.61,23.71,0.0,14.23,,,126.45,84.3,115.91,126.45,790.31,579.56,1369.87,983.5,4214.98,4741.85,2634.36,2.0,0
Rosenheim,Germany,10.54,57.96,9.48,4.21,6.32,3.34,2.67,3.06,1.04,2.11,1.48,2.91,9.48,9.22,32.88,2.63,1.69,1.05,3.69,1.05,0.95,1.37,0.84,9.48,1.11,,8.01,1.9,46.36,,,,2.19,30031.74,28451.12,242.36,0.11,42.15,36.88,26.34,10.54,,,63.22,52.69,71.13,79.03,674.4,590.1,1053.75,,,,1685.99,,0
Friedrichshafen,Germany,12.12,63.22,8.43,4.21,4.21,3.13,3.37,2.8,1.22,2.11,3.16,2.49,13.07,9.48,15.81,1.84,1.52,2.1,0.83,0.74,0.94,1.16,0.52,4.21,0.56,1.32,7.38,2.53,54.0,3.69,2.21,31.61,2.25,29504.87,34773.59,174.5,0.25,38.29,28.1,,13.17,210.75,4552.18,52.69,26.34,73.76,73.76,790.31,605.9,1317.18,922.03,,4022.15,2634.36,2.0,0
Wesel,Germany,10.54,42.15,9.48,2.11,3.16,2.11,1.58,1.05,1.04,,1.57,2.52,,3.15,,2.11,1.57,2.11,,,,,,7.37,,1.04,7.06,,,,,,,,,,,,31.61,,6.32,,,31.61,,84.3,84.3,,,,,,,,,0
Greifswald,Germany,10.54,57.96,10.01,4.21,2.63,3.16,3.27,1.58,1.14,1.86,2.41,3.04,12.28,12.89,33.68,2.56,1.9,2.36,2.11,1.05,0.94,0.83,0.63,6.32,1.03,1.07,6.95,2.32,40.04,3.69,1.9,29.72,2.32,25289.89,33192.97,150.69,0.1,42.15,23.7,15.81,14.7,210.75,10537.45,84.3,15.81,73.76,126.45,474.19,263.44,2107.49,1053.75,,,2423.61,2.0,0
Offenburg,Germany,10.54,36.88,9.48,4.0,4.21,4.53,2.11,3.23,0.94,1.72,2.81,2.81,10.53,6.67,14.23,3.16,2.0,1.93,3.01,1.82,2.11,1.23,1.12,6.32,1.0,2.32,8.43,,,,,,,,,158.06,,46.89,36.88,,11.06,368.81,,26.34,31.61,60.59,94.84,790.31,632.25,1738.68,1211.81,,2423.61,1791.37,,0
Neu-Ulm,Germany,,,,,,,,,0.83,1.84,2.73,3.28,,6.52,26.33,3.99,1.68,3.16,,1.48,,1.36,0.16,7.89,,1.68,8.43,2.74,54.79,,,,2.0,,,291.1,0.09,52.68,42.15,15.81,9.48,194.42,,73.76,42.15,73.76,63.22,1053.75,816.65,1264.49,1159.12,,,2634.36,,0
Frankfurt (Oder),Germany,12.12,63.22,8.96,5.01,4.21,3.16,2.46,2.81,0.9,0.94,1.98,2.24,13.07,7.79,9.48,2.42,1.75,1.89,0.83,1.58,0.94,1.05,0.52,5.79,0.56,1.23,8.43,2.95,73.76,3.16,2.11,25.29,2.32,24236.14,22655.52,334.56,,40.39,28.1,21.07,9.48,400.42,,57.96,42.1,63.22,79.03,526.87,374.08,579.56,526.87,3161.24,,,2.5,0
Waiblingen,Germany,12.64,29.5,9.48,2.79,2.11,1.72,1.58,2.11,1.48,1.47,2.63,3.24,4.43,7.28,11.62,3.17,1.32,4.08,2.58,2.64,1.58,1.82,1.02,3.16,1.05,2.11,11.59,2.85,62.17,8.43,,55.32,2.67,10537.45,15806.18,191.24,0.23,33.37,36.88,26.34,15.81,579.56,15806.18,45.31,40.39,82.54,84.3,632.25,597.12,1422.56,1194.24,,,5159.84,2.0,0
Schweinfurt,Germany,8.43,42.15,8.43,3.16,3.16,3.02,2.53,2.63,0.98,1.58,1.83,1.9,22.29,9.48,14.75,3.16,1.44,2.1,0.83,0.95,0.94,1.05,0.36,4.74,0.69,1.0,7.9,1.9,42.15,3.06,1.9,25.29,2.24,20252.98,23414.1,254.97,0.09,34.24,47.42,,9.48,65.33,10537.45,79.03,26.34,98.35,126.45,474.19,368.81,895.68,711.28,3688.11,2634.36,2107.49,2.53,0
Bad Salzuflen,Germany,13.7,71.13,9.48,3.69,3.69,3.0,1.58,2.1,0.95,1.42,1.15,3.09,,9.43,25.29,2.63,1.84,3.15,,3.15,,1.58,,3.15,,1.32,10.01,7.9,,6.64,1.9,,,26238.26,23920.02,368.81,,31.6,73.76,31.61,12.64,79.03,,131.72,52.69,263.44,263.44,421.5,316.12,737.62,526.87,,,,1.8,0
Wetzlar,Germany,21.07,126.45,10.54,4.21,4.21,4.21,3.16,2.11,0.74,1.58,2.11,3.79,21.07,5.27,6.32,2.11,2.11,2.11,,1.05,1.05,1.05,0.53,8.43,1.05,1.05,8.43,4.74,136.99,2.11,3.16,31.61,2.63,26343.63,26343.63,179.14,0.32,52.69,26.34,47.42,15.81,316.12,5690.22,63.22,73.76,94.84,136.99,737.62,579.56,1791.37,1369.87,2318.24,1475.24,1369.87,,0
Passau,Germany,10.54,52.69,8.43,3.42,4.21,3.41,2.7,2.21,1.12,1.54,1.99,3.09,12.79,8.51,25.29,2.35,1.88,2.18,1.03,1.58,1.36,1.19,0.66,4.74,0.75,1.76,8.43,2.11,44.78,3.69,2.11,28.45,2.31,23447.94,25284.09,224.19,0.17,40.74,35.12,20.02,9.48,105.37,,80.44,42.85,94.84,97.3,701.99,467.16,1185.46,983.5,3688.11,3161.24,1756.24,4.2,1
Wolfenbuttel,Germany,21.07,52.69,15.81,,,,,1.05,,,2.74,,,,,,1.26,1.37,,1.05,,,1.26,,1.06,,,1.69,174.92,3.06,2.32,,,,,223.92,,52.69,52.69,,10.54,,,105.37,21.07,84.3,105.37,526.87,526.87,948.37,684.93,,,1965.32,,0
Kleve,Germany,15.81,57.96,9.48,3.16,2.37,3.02,2.1,1.32,0.91,1.58,2.1,2.82,,9.32,8.43,3.34,1.94,2.63,0.83,,0.94,1.05,0.68,5.27,0.56,1.42,7.38,3.06,84.3,3.48,1.79,42.36,2.16,,,160.65,0.09,36.88,39.16,26.34,10.54,,,84.3,21.07,168.6,104.32,368.81,395.15,948.37,737.62,,,,2.87,0
Bad Kreuznach,Germany,21.07,52.69,10.54,3.16,1.58,2.63,1.05,1.05,0.9,,,,,,,,,,,,,,,,,,7.38,,,,,,,,,,,52.69,73.76,,12.64,,,52.69,21.07,63.22,42.15,,,,,,,,,0
Ravensburg,Germany,10.54,43.2,8.43,3.93,3.95,3.06,3.0,2.0,1.16,2.11,1.48,2.78,13.07,7.79,15.81,2.11,1.52,2.1,0.83,0.74,0.94,0.63,0.52,4.21,0.56,1.05,7.38,2.53,65.86,3.06,2.21,31.61,2.25,24236.14,20969.53,174.5,0.16,38.29,50.93,,11.59,210.75,4552.18,73.76,21.07,68.49,73.76,,526.87,1159.12,948.37,6322.47,4952.6,2265.55,1.62,0
Gummersbach,Germany,12.64,47.42,14.75,3.16,3.16,2.63,2.63,2.11,0.94,,,2.11,,,,,2.11,,,,,,,,,,,3.69,79.03,,,,,26343.63,31612.36,,,,,,,,,,,,,,,,,,,,2.0,0
Leonberg,Germany,8.43,63.22,5.27,1.58,,3.69,3.16,3.16,0.95,2.0,1.05,2.78,10.54,6.32,16.33,2.37,1.84,2.9,3.95,2.74,1.26,1.32,1.03,5.8,1.05,1.05,7.9,,,,,,,,,263.44,,30.56,31.61,,12.64,421.5,,73.76,52.69,73.76,73.76,1264.49,948.37,2107.49,1580.62,,,1580.62,1.7,0
Soest,Germany,17.12,26.34,13.17,5.27,2.85,2.39,2.0,2.63,0.86,1.05,2.37,1.77,,5.27,6.32,2.63,2.88,3.16,0.83,1.58,0.94,1.52,0.2,6.06,0.87,1.26,7.64,3.16,25.29,3.37,2.11,34.77,2.32,42149.81,26343.63,210.75,0.05,36.88,21.07,42.15,5.27,368.81,,63.22,26.34,63.22,73.76,790.31,395.15,895.68,843.0,7376.22,,1580.62,2.0,0
Herzogenrath,Germany,10.54,52.69,8.42,3.69,2.95,3.16,2.63,2.11,0.74,,1.53,1.68,,6.85,,3.15,2.1,3.15,1.57,0.38,1.57,0.53,,2.1,,1.04,7.38,,,3.48,2.11,34.77,,21074.9,21601.78,158.06,0.09,20.97,,,10.54,136.99,,42.15,26.34,42.15,63.22,,,,,,2107.49,3055.86,2.27,0
