city,country,meal_inexpensive,meal_for_2_midrange,mcmeal,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi_restaurant,water_restaurant,milk,bread,rice,eggs,cheese,chicken,beef,apples,banana,oranges,tomato,potato,onion,lettuce,water_market,wine,domestic_beer_market,imported_beer_market,cigarettes,one_way_ticket,monthly_pass,taxi_start,taxi_1km,taxi_1hour_waiting,gasoline,vw_golf,toyota_corolla,utilities_85m2,mobile_tariff,internet,fitness_club,tennis_court,cinema,preschool,intl_primary_school,jeans,summer_dress,nike_shoes,leather_shoes,apt_1bed_city,apt_1bed_outside,apt_3bed_city,apt_3bed_outside,price_sqm_city,price_sqm_outside,avg_salary,mortgage_rate,data_quality
Augsburg,Germany,12.64,63.22,9.48,3.37,3.16,3.06,2.02,1.76,1.13,3.16,2.0,2.72,13.07,5.95,12.64,2.99,1.68,2.1,0.83,1.76,0.94,1.3,0.6,6.85,0.57,1.19,7.38,3.37,64.02,4.0,1.9,37.93,2.32,26870.5,22831.15,239.46,0.1,34.39,37.76,17.39,10.54,331.93,12118.07,86.93,38.2,77.98,142.26,890.41,591.85,1422.56,1238.15,6322.47,5268.73,2271.06,1.42,1
Wiesbaden,Germany,12.64,56.9,9.48,4.43,3.42,3.3,2.82,2.34,0.98,1.38,2.55,2.64,12.72,8.43,23.18,3.07,1.72,2.25,0.9,1.89,1.26,1.47,0.53,7.37,0.67,1.83,8.01,3.08,89.83,3.42,3.06,42.36,2.28,28451.12,25289.89,176.5,0.21,39.78,52.69,18.97,10.54,474.19,8166.53,91.94,38.29,94.49,150.16,737.62,734.11,1369.87,1211.81,5230.09,5057.98,2867.07,,1
Gelsenkirchen,Germany,10.54,47.42,8.43,4.06,3.95,3.03,2.85,2.54,1.0,1.13,2.02,3.06,10.74,6.0,9.47,2.35,1.67,2.23,1.28,1.04,0.97,0.98,0.33,5.27,0.65,1.21,7.38,2.85,,4.21,2.11,28.45,2.21,21074.9,20021.16,314.72,0.12,29.31,23.68,,10.54,252.9,8956.83,78.68,36.85,79.03,83.91,474.19,579.56,737.62,632.25,,,2687.05,1.3,0
Monchengladbach,Germany,10.54,52.69,7.9,3.69,3.06,2.7,2.32,1.83,1.1,1.94,1.58,2.73,12.26,7.11,13.16,2.63,1.67,1.32,0.83,1.13,1.05,1.61,0.62,5.26,0.56,2.16,7.59,3.06,84.3,3.16,2.11,37.93,2.2,24441.62,28978.78,269.06,0.13,35.39,24.24,,10.54,142.26,12223.44,68.49,30.56,80.61,84.3,474.19,421.5,895.68,790.31,2107.49,2107.49,2353.01,1.9,0
Aachen,Germany,10.54,52.69,8.43,3.69,4.21,2.93,2.35,2.31,1.01,1.09,1.91,2.58,10.62,9.96,15.82,2.33,1.66,2.2,0.97,1.69,1.4,1.09,0.5,6.32,0.63,1.34,8.01,3.06,73.76,4.0,2.0,31.61,2.32,18440.54,23533.64,244.06,0.12,31.17,25.17,16.33,10.54,509.8,12644.94,91.37,43.47,81.27,104.06,641.56,443.82,1217.66,955.62,7709.9,4443.29,2824.1,2.24,1
Braunschweig,Germany,8.17,68.49,9.48,3.69,4.21,3.55,2.77,2.0,0.97,2.57,2.15,2.88,14.19,7.66,13.38,2.28,1.68,2.1,0.83,0.53,0.94,1.16,0.63,5.26,0.64,1.75,7.38,3.16,70.6,3.27,2.37,27.82,2.35,32666.1,22655.52,275.78,,45.63,26.08,16.86,12.12,632.25,24236.14,99.58,42.15,98.35,105.37,445.73,417.99,1475.24,1062.53,3327.2,2581.68,3277.67,2.15,1
Kiel,Germany,11.38,52.69,8.42,4.11,3.16,3.4,2.19,2.99,1.01,1.92,2.14,2.41,11.23,6.65,13.34,2.1,1.7,2.45,1.26,1.18,0.98,1.09,0.48,5.27,0.58,1.23,8.43,2.74,64.28,3.64,2.05,25.29,2.3,25816.76,29504.87,224.8,0.1,32.66,29.85,21.07,12.64,304.53,11591.2,79.03,38.64,99.84,133.47,807.87,488.94,1593.79,1072.71,3688.11,2634.36,2476.3,2.23,1
Chemnitz,Germany,10.54,47.42,8.43,3.69,4.11,3.09,2.96,3.11,0.93,1.5,1.88,2.05,11.8,6.29,12.63,2.37,1.6,2.16,1.13,1.16,0.91,1.1,0.4,4.74,0.55,1.26,7.64,2.53,61.12,3.69,1.9,26.34,2.17,24201.37,26132.88,236.07,0.12,34.94,28.98,22.13,12.64,189.67,3161.24,68.23,30.2,64.54,112.05,562.0,368.81,816.65,632.25,3161.24,2634.36,2125.05,1.97,0
Halle,Germany,10.01,44.78,8.43,3.69,3.53,2.7,2.72,2.46,0.85,1.32,1.92,2.67,13.07,7.66,12.64,2.29,1.68,2.08,0.83,1.16,0.94,1.36,0.52,4.21,0.56,1.58,7.01,2.53,68.97,3.64,1.79,26.55,2.28,26343.63,31612.36,139.4,0.1,31.48,38.29,21.07,10.01,368.81,14225.56,50.93,28.98,80.79,105.37,479.45,344.22,1071.31,413.59,,,2107.49,1.64,0
Magdeburg,Germany,12.64,63.22,8.43,3.95,4.21,3.03,2.18,1.95,1.08,1.19,2.01,2.25,9.27,5.12,10.54,2.4,1.68,1.96,0.97,1.11,0.97,1.42,0.57,5.26,0.56,1.4,7.06,2.79,68.49,3.69,2.0,25.29,2.16,26343.63,21074.9,308.3,0.1,35.01,21.29,9.48,10.27,191.06,8781.21,40.83,37.06,79.03,89.57,453.11,389.89,843.0,684.93,2212.86,1791.37,1844.05,1.96,0
